,name,sex,year_count,year_min,year_max,pct_sum,pct_max
164,Jan,F,73,1940,2013,2.896589485309671,0.1594029562274501
165,Brielle,F,39,1972,2013,1.0979906870272682,0.15771754232344254
166,Shelley,F,74,1940,2013,4.122930727467643,0.15691744972002036
167,Jonah,M,74,1940,2013,2.628696927647299,0.1555401987946827
168,Dave,M,74,1940,2013,2.6488727212178333,0.15542958280562583
169,Shari,F,74,1940,2013,2.2763354951795463,0.1545217311986167
170,Marianne,F,74,1940,2013,3.0936674612871875,0.14778845655234626
171,Gael,M,27,1946,2013,0.6902893097595862,0.1450471973087041
172,Ezra,M,74,1940,2013,1.2589960394785467,0.14469931876971381
173,Ana,F,74,1940,2013,5.239114452847787,0.1419586791213355
174,Jayce,M,50,1956,2013,0.7483246919238492,0.14122610764710253
175,Emmanuel,M,74,1940,2013,3.2146110128309,0.14102970715720478
176,Shawna,F,72,1941,2013,2.701057675350505,0.13575389729803428
177,Tami,F,72,1942,2013,2.1423390871486947,0.13524609004838903
178,Malachi,M,74,1940,2013,1.8009679461352206,0.13498624066243645
179,Delilah,F,74,1940,2013,1.34742298062525,0.13382240316014352
180,Manuel,M,74,1940,2013,7.5045884800760945,0.13335886871571398
181,Jude,M,74,1940,2013,1.2559988544572627,0.13283696693556446
182,Elsie,F,74,1940,2013,1.7570726755309594,0.1283105342336354
183,Rebekah,F,74,1940,2013,4.032655157556207,0.1267618093664478
184,Jody,F,74,1940,2013,3.1788781863470925,0.12596554996662085
185,Tammie,F,72,1940,2012,2.0107423150400376,0.12572519107241392
186,Marley,F,59,1946,2013,0.9444264330634851,0.12476381531351281
187,Johnnie,M,74,1940,2013,3.0665801030793642,0.12469484281114815
188,Elise,F,74,1940,2013,2.8651452657355763,0.12095673984197422
189,Abel,M,74,1940,2013,1.9075859905251078,0.11867695235876453
190,Abraham,M,74,1940,2013,3.3037340956328847,0.11702049782336532
191,Jessie,F,74,1940,2013,3.3925144397571514,0.1166777455130672
192,Eden,F,67,1943,2013,1.3313499226232548,0.11643240068408355
193,Ezekiel,M,74,1940,2013,1.3538099447380987,0.11595181747794643
194,Debora,F,74,1940,2013,1.539972316626818,0.11591583723164886
195,Shelia,F,74,1940,2013,2.613120645388423,0.11548271878152766
196,Jaiden,M,23,1991,2013,1.1281764937473175,0.11516455252847094
197,Nina,F,74,1940,2013,4.773788533096903,0.11374795910375285
198,Bessie,F,74,1940,2013,1.3980392167327211,0.11335409159290487
199,Shawn,F,74,1940,2013,1.9233116514455082,0.11275118028347397
200,Janie,F,74,1940,2013,2.781537847393336,0.1124670058528748
201,Abby,F,74,1940,2013,3.041771888409606,0.11220817245870131
202,Mariana,F,74,1940,2013,1.7019057001032205,0.11159069033393745
203,Kyla,F,67,1940,2013,1.9731704952054718,0.1110725783233439
